idstatefrom,idaction,idstateto,probability,reward
0,0,0,1,-4.95
0,1,0,0.9888052730564989,-9.440000000000003
0,1,1,0.011194726943501033,-13.280000000000001
0,2,0,0.9724353963640933,-7.940000000000003
0,2,1,0.016369876692405656,-11.78
0,2,2,0.011194726943501033,-15.620000000000001
0,3,0,0.9494365775472748,-6.440000000000001
0,3,1,0.022998818816818457,-10.280000000000001
0,3,2,0.016369876692405656,-14.12
0,3,3,0.011194726943501033,-17.96
0,4,0,0.9183914194035478,-4.94
0,4,1,0.031045158143727113,-8.78
0,4,2,0.022998818816818457,-12.620000000000001
0,4,3,0.016369876692405656,-16.46
0,4,4,0.011194726943501033,-20.3
0,5,0,0.8781280197616512,-3.439999999999997
0,5,1,0.0402633996418966,-7.280000000000001
0,5,2,0.031045158143727113,-11.12
0,5,3,0.022998818816818457,-14.96
0,5,4,0.016369876692405656,-18.800000000000004
0,5,5,0.011194726943501033,-22.64
0,6,0,0.8279567343735437,-1.939999999999997
0,6,1,0.050171285388107625,-5.779999999999998
0,6,2,0.0402633996418966,-9.619999999999997
0,6,3,0.031045158143727113,-13.459999999999999
0,6,4,0.022998818816818457,-17.3
0,6,5,0.016369876692405656,-21.14
0,6,6,0.011194726943501033,-24.98
0,7,0,0.7678908003767615,-0.4400000000000014
0,7,1,0.06006593399678201,-4.280000000000001
0,7,2,0.050171285388107625,-8.119999999999997
0,7,3,0.0402633996418966,-11.96
0,7,4,0.031045158143727113,-15.800000000000002
0,7,5,0.022998818816818457,-19.64
0,7,6,0.016369876692405656,-23.480000000000004
0,7,7,0.011194726943501033,-27.32
0,8,0,0.6987985302963756,1.0599999999999985
0,8,1,0.06909227008038593,-2.7800000000000047
0,8,2,0.06006593399678201,-6.620000000000001
0,8,3,0.050171285388107625,-10.46
0,8,4,0.0402633996418966,-14.300000000000004
0,8,5,0.031045158143727113,-18.14
0,8,6,0.022998818816818457,-21.980000000000004
0,8,7,0.016369876692405656,-25.82
0,8,8,0.011194726943501033,-29.660000000000004
0,9,0,0.6224397627397048,2.559999999999995
0,9,1,0.07635876755667072,-1.2800000000000011
0,9,2,0.06909227008038593,-5.1200000000000045
0,9,3,0.06006593399678201,-8.960000000000004
0,9,4,0.050171285388107625,-12.800000000000004
0,9,5,0.0402633996418966,-16.640000000000008
0,9,6,0.031045158143727113,-20.480000000000004
0,9,7,0.022998818816818457,-24.320000000000004
0,9,8,0.016369876692405656,-28.160000000000004
0,9,9,0.011194726943501033,-32.00000000000001
0,10,0,0.5413592326988697,4.060000000000003
0,10,1,0.08108053004083508,0.22000000000000597
0,10,2,0.07635876755667072,-3.6199999999999974
0,10,3,0.06909227008038593,-7.460000000000001
0,10,4,0.06006593399678201,-11.3
0,10,5,0.050171285388107625,-15.14
0,10,6,0.0402633996418966,-18.979999999999997
0,10,7,0.031045158143727113,-22.82
0,10,8,0.022998818816818457,-26.66
0,10,9,0.016369876692405656,-30.5
0,10,10,0.011194726943501033,-34.34
0,11,0,0.45864076730113024,5.559999999999995
0,11,1,0.08271846539773957,1.720000000000006
0,11,2,0.08108053004083508,-2.1199999999999974
0,11,3,0.07635876755667072,-5.960000000000001
0,11,4,0.06909227008038593,-9.800000000000004
0,11,5,0.06006593399678201,-13.640000000000004
0,11,6,0.050171285388107625,-17.479999999999997
0,11,7,0.0402633996418966,-21.32
0,11,8,0.031045158143727113,-25.160000000000004
0,11,9,0.022998818816818457,-29.000000000000004
0,11,10,0.016369876692405656,-32.84
0,11,11,0.011194726943501033,-36.68
0,12,0,0.3775602372602951,7.059999999999998
0,12,1,0.08108053004083508,3.219999999999999
0,12,2,0.08271846539773957,-0.6199999999999974
0,12,3,0.08108053004083508,-4.460000000000001
0,12,4,0.07635876755667072,-8.300000000000004
0,12,5,0.06909227008038593,-12.140000000000008
0,12,6,0.06006593399678201,-15.98
0,12,7,0.050171285388107625,-19.82
0,12,8,0.0402633996418966,-23.660000000000004
0,12,9,0.031045158143727113,-27.500000000000007
0,12,10,0.022998818816818457,-31.340000000000007
0,12,11,0.016369876692405656,-35.18
0,12,12,0.011194726943501033,-39.02
